ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,sku_id,weekly,weekly_lower,weekly_upper
2025-01-15,3.9999960000000003,3.9999960000000003,3.9999960000000003,3.9999960000000003,3.9999960000000003,0.0,0.0,0.0,0.0,0.0,0.0,3.9999960000000003,P004,,,
2025-02-14,13.999990526200001,13.999990526200001,13.999990526200001,13.999990526200001,13.999990526200001,0.0,0.0,0.0,0.0,0.0,0.0,13.999990526200001,P004,,,
2025-02-15,14.333323677073334,14.333323677073334,14.333323677073334,14.333323677073334,14.333323677073334,0.0,0.0,0.0,0.0,0.0,0.0,14.333323677073334,P004,,,
2025-02-16,14.666656827946667,14.666656827946667,14.666656827946667,14.666656827946667,14.666656827946667,0.0,0.0,0.0,0.0,0.0,0.0,14.666656827946667,P004,,,
2025-02-17,14.99998997882,14.99998997882,14.99998997882,14.99998997882,14.99998997882,0.0,0.0,0.0,0.0,0.0,0.0,14.99998997882,P004,,,
2025-02-18,15.333323129693335,15.333323129693335,15.333323129693335,15.333323129693335,15.333323129693335,0.0,0.0,0.0,0.0,0.0,0.0,15.333323129693335,P004,,,
2025-02-19,15.66665628056667,15.66665628056667,15.66665628056667,15.66665628056667,15.66665628056667,0.0,0.0,0.0,0.0,0.0,0.0,15.66665628056667,P004,,,
2025-02-20,15.999989431440003,15.999989431323103,15.999989431440003,15.999989431323103,15.999989431440003,0.0,0.0,0.0,0.0,0.0,0.0,15.999989431440003,P004,,,
2025-02-21,16.333322582313336,16.333322581047444,16.333322582313336,16.333322581047444,16.333322582313336,0.0,0.0,0.0,0.0,0.0,0.0,16.333322582313336,P004,,,
2025-02-22,16.66665573318667,16.666655730616245,16.666655733260242,16.666655730616245,16.666655733260242,0.0,0.0,0.0,0.0,0.0,0.0,16.66665573318667,P004,,,
2025-02-23,16.999988884060002,16.999988880309832,16.999988885693536,16.999988880309832,16.999988885693536,0.0,0.0,0.0,0.0,0.0,0.0,16.999988884060002,P004,,,
2025-02-24,17.33332203493333,17.333322029258536,17.333322038275202,17.333322029258536,17.333322038275202,0.0,0.0,0.0,0.0,0.0,0.0,17.33332203493333,P004,,,
2025-02-25,17.66665518580667,17.666655177957615,17.666655192183278,17.666655177957615,17.666655192183278,0.0,0.0,0.0,0.0,0.0,0.0,17.66665518580667,P004,,,
2025-02-26,17.99998833668,17.99998832529394,17.99998834596562,17.99998832529394,17.99998834596562,0.0,0.0,0.0,0.0,0.0,0.0,17.99998833668,P004,,,
2025-02-27,18.333321487553334,18.333321473655996,18.33332149944376,18.333321473655996,18.33332149944376,0.0,0.0,0.0,0.0,0.0,0.0,18.333321487553334,P004,,,
2025-02-28,18.666654638426667,18.666654621959673,18.66665465428442,18.666654621959673,18.66665465428442,0.0,0.0,0.0,0.0,0.0,0.0,18.666654638426667,P004,,,
2025-03-01,18.9999877893,18.999987769394703,18.999987809628234,18.999987769394703,18.999987809628234,0.0,0.0,0.0,0.0,0.0,0.0,18.9999877893,P004,,,
2025-03-02,19.333320940173337,19.333320914694287,19.333320962868953,19.333320914694287,19.333320962868953,0.0,0.0,0.0,0.0,0.0,0.0,19.333320940173337,P004,,,
2025-03-03,19.666654091046667,19.666654059999104,19.666654120840402,19.666654059999104,19.666654120840402,0.0,0.0,0.0,0.0,0.0,0.0,19.666654091046667,P004,,,
2025-03-04,19.99998724192,19.999987207501608,19.999987275714343,19.999987207501608,19.999987275714343,0.0,0.0,0.0,0.0,0.0,0.0,19.99998724192,P004,,,
2025-03-05,20.333320392793336,20.333320354219847,20.33332043154236,20.333320354219847,20.33332043154236,0.0,0.0,0.0,0.0,0.0,0.0,20.333320392793336,P004,,,
2025-03-06,20.66665354366667,20.66665350032444,20.66665358769786,20.66665350032444,20.66665358769786,0.0,0.0,0.0,0.0,0.0,0.0,20.66665354366667,P004,,,
2025-03-07,20.999986694540002,20.999986646905064,20.99998674322833,20.999986646905064,20.99998674322833,0.0,0.0,0.0,0.0,0.0,0.0,20.999986694540002,P004,,,
2025-03-08,21.333319845413335,21.33331979090673,21.333319901560497,21.33331979090673,21.333319901560497,0.0,0.0,0.0,0.0,0.0,0.0,21.333319845413335,P004,,,
2025-03-09,21.66665299628667,21.66665293563844,21.66665305771465,21.66665293563844,21.66665305771465,0.0,0.0,0.0,0.0,0.0,0.0,21.66665299628667,P004,,,
2025-03-10,21.99998614716,21.99998608189459,21.999986214921318,21.99998608189459,21.999986214921318,0.0,0.0,0.0,0.0,0.0,0.0,21.99998614716,P004,,,
2025-03-11,22.333319298033334,22.333319229285866,22.33331937012404,22.333319229285866,22.33331937012404,0.0,0.0,0.0,0.0,0.0,0.0,22.333319298033334,P004,,,
2025-03-12,22.666652448906667,22.666652373879092,22.6666525257117,22.666652373879092,22.6666525257117,0.0,0.0,0.0,0.0,0.0,0.0,22.666652448906667,P004,,,
2025-03-13,22.99998559978,22.99998551932639,22.999985681341983,22.99998551932639,22.999985681341983,0.0,0.0,0.0,0.0,0.0,0.0,22.99998559978,P004,,,
2025-03-14,23.333318750653333,23.333318662880167,23.333318841450172,23.333318662880167,23.333318841450172,0.0,0.0,0.0,0.0,0.0,0.0,23.333318750653333,P004,,,
2025-03-15,23.666651901526667,23.666651810356914,23.666651997166294,23.666651810356914,23.666651997166294,0.0,0.0,0.0,0.0,0.0,0.0,23.666651901526667,P004,,,
